uniqueid,Divorce_date,Date_of_marriage,Age_partner_man,Marriage_duration,Type_of_divorce,Num_Children,DOB_partner_man,Level_of_education_partner_man,year_of_marriage,year_of_DOB,year_of_Divorse,month_of_DOB,day_of_DOB,DONE,dayun,man時干,man時支,man日干,man日支,man月干,man月支,man年干,man年支,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,man流年大運天地合,man流年大運伏吟,當令,man大運天干十神,man大運地支十神,man大運財透干,man大運財得地,man年干十神,man年支十神,man月干十神,man月支十神,年月有多少財,年月有多少官,本命日支六合,本命日支三合,本命日支被三合或六合,日支大運六合,日支大運三合,日支被大運三合或六合,流年之前日支被合,marriage_age,marri_age_group,man大運財透干2,man大運財得地2,man大運日支六沖,man大運日支六合,man大運日干五合,man大運日柱天地合,man財透干2,man財得地2,man流年大運地支伏吟
2287,2005-05-16,1998-09-19,29.0,6.0,Necesario,1.0,1976-04-23,PREPARATORIA,1998,1976,2005,4,23,1,甲午,丙,子,乙,巳,壬,辰,丙,辰,戊寅,False,False,False,正財,劫財,True,False,False,False,False,日干生日支,False,False,False,False,False,0,劫財,傷官,False,False,傷官,正財,正印,正財,2,0,no,no,no,no,no,no,no,22,21-30,False,False,False,False,False,False,True,False,False
2288,2005-05-16,1977-07-16,50.0,27.0,Necesario,2.0,1954-06-07,PROFESIONAL,1977,1954,2005,6,7,1,壬申,甲,子,甲,午,庚,午,甲,午,丁巳,False,False,False,傷官,傷官,False,False,False,False,False,日干生日支,False,True,False,True,False,0,偏印,七殺,False,False,比肩,食神,七殺,食神,0,1,no,no,no,no,no,no,no,23,21-30,False,False,False,False,False,False,False,False,False
2289,2007-05-16,1989-11-29,47.0,15.0,Necesario,1.0,1959-09-27,PROFESIONAL,1989,1959,2007,9,27,1,庚午,庚,子,壬,子,癸,酉,己,亥,己巳,False,False,False,正官,正財,False,True,False,False,False,比和,False,False,True,False,False,0,偏印,偏財,False,True,正官,比肩,劫財,正印,0,1,no,no,no,no,no,no,no,30,21-30,False,True,True,False,False,False,False,True,False
2290,2008-05-16,1984-08-24,44.0,12.0,Necesario,3.0,1964-03-21,,1984,1964,2008,3,21,1,己巳,甲,子,己,巳,丁,卯,甲,辰,甲子,False,False,False,正官,偏財,False,True,True,False,False,日支生日干,False,False,False,False,False,0,比肩,偏印,False,False,正官,劫財,偏印,七殺,0,2,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,True,False
2291,2011-05-16,1968-04-06,68.0,43.0,Necesario,1.0,1942-07-30,PROFESIONAL,1968,1942,2011,7,30,1,庚戌,甲,子,甲,申,丁,未,壬,午,戊申,True,False,False,偏財,七殺,True,False,False,False,False,日支剋日干,False,False,False,False,False,0,七殺,偏財,False,True,偏印,食神,傷官,正財,1,0,no,no,no,no,no,no,no,26,21-30,False,True,False,False,False,False,True,False,False
2292,2011-05-16,2001-11-19,38.0,5.0,Necesario,1.0,1973-04-16,SECUNDARIA,2001,1973,2011,4,16,1,癸丑,庚,子,壬,午,丙,辰,癸,丑,辛巳,False,False,False,正印,正財,False,True,False,False,False,日干剋日支,False,True,False,False,False,0,劫財,正官,False,False,劫財,正官,偏財,七殺,1,2,no,no,no,no,no,no,no,28,21-30,False,False,False,False,False,False,False,True,False
2293,2012-05-16,2000-02-09,62.0,12.0,Voluntario,2.0,1949-06-10,SECUNDARIA,2000,1949,2012,6,10,1,甲子,戊,子,辛,未,庚,午,己,丑,庚辰,False,False,False,劫財,正印,False,False,False,False,False,日支生日干,False,False,False,False,False,0,正財,食神,True,False,偏印,偏印,劫財,正官,0,1,yes,no,yes,no,no,no,yes,51,41-50,True,False,False,False,False,False,False,False,False
2294,2000-06-16,1974-08-13,43.0,25.0,Voluntario,2.0,1956-07-25,PREPARATORIA,1974,1956,2000,7,25,1,丁酉,壬,子,癸,巳,乙,未,丙,申,甲寅,False,False,False,傷官,傷官,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,偏財,偏印,True,False,正財,正印,食神,七殺,1,1,yes,no,yes,no,no,no,yes,18,0-20,True,False,False,False,False,False,False,False,False
2295,2000-06-16,1983-04-16,42.0,2.0,Voluntario,2.0,1957-10-20,PROFESIONAL,1983,1957,2000,10,20,1,丁未,丙,子,乙,丑,庚,戌,丁,酉,癸亥,False,False,False,偏印,正印,False,False,False,False,False,日干剋日支,False,True,False,False,False,0,食神,偏財,False,True,食神,七殺,正官,正財,1,2,no,no,no,no,no,no,no,26,21-30,False,True,True,False,False,False,False,False,False
2296,2004-06-16,2000-04-15,31.0,4.0,Voluntario,,1972-07-30,PROFESIONAL,2000,1972,2004,7,30,1,庚戌,庚,子,壬,戌,丁,未,壬,子,庚辰,False,True,False,偏印,七殺,False,False,False,False,False,日支剋日干,False,False,False,False,False,0,偏印,七殺,False,False,比肩,劫財,正財,正官,1,1,no,no,no,no,no,no,no,28,21-30,False,False,False,False,False,False,False,False,False
