uniqueid,Divorce_date,Date_of_marriage,Age_partner_man,Marriage_duration,Type_of_divorce,Num_Children,DOB_partner_man,Level_of_education_partner_man,year_of_marriage,year_of_DOB,year_of_Divorse,month_of_DOB,day_of_DOB,DONE,dayun,man時干,man時支,man日干,man日支,man月干,man月支,man年干,man年支,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,man流年大運天地合,man流年大運伏吟,當令,man大運天干十神,man大運地支十神,man大運財透干,man大運財得地,man年干十神,man年支十神,man月干十神,man月支十神,年月有多少財,年月有多少官,本命日支六合,本命日支三合,本命日支被三合或六合,日支大運六合,日支大運三合,日支被大運三合或六合,流年之前日支被合,marriage_age,marri_age_group,man大運財透干2,man大運財得地2,man大運日支六沖,man大運日支六合,man大運日干五合,man大運日柱天地合,man財透干2,man財得地2,man流年大運地支伏吟
0,2006-06-09,2000-06-26,30.0,5.0,Necesario,1.0,1975-12-18,SECUNDARIA,2000,1975,2006,12,18,1,乙酉,壬,子,戊,戌,戊,子,乙,卯,庚辰,False,True,False,食神,比肩,False,False,False,False,False,比和,False,False,False,True,False,0,正官,傷官,False,False,正官,正官,比肩,正財,1,2,yes,no,yes,no,no,no,yes,25,21-30,False,False,False,False,False,False,False,False,False
1,2005-02-01,1975-12-18,49.0,,Necesario,,1955-02-22,PREPARATORIA,1975,1955,2005,2,22,1,丙子,甲,子,甲,寅,戊,寅,乙,未,乙卯,False,False,False,劫財,劫財,False,False,False,False,False,比和,False,True,False,False,False,1,食神,正印,False,False,劫財,正財,偏財,比肩,2,0,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,False,False
2,2006-02-01,1987-12-03,42.0,18.0,Necesario,2.0,1964-01-20,PROFESIONAL,1987,1964,2006,1,20,1,癸亥,壬,子,戊,辰,乙,丑,癸,卯,丁卯,False,False,False,正印,正官,False,False,False,False,False,比和,False,True,False,False,False,1,正財,偏財,True,True,正財,正官,正官,劫財,1,2,no,no,no,no,no,no,no,23,21-30,True,True,False,False,True,False,False,False,False
3,2006-02-01,1998-11-14,30.0,7.0,Necesario,2.0,1975-10-30,PROFESIONAL,1998,1975,2006,10,30,1,甲申,甲,子,己,酉,丙,戌,乙,卯,戊寅,False,False,False,劫財,正官,False,False,False,False,False,日干生日支,False,False,False,False,False,1,正官,傷官,False,False,七殺,七殺,正印,劫財,0,2,no,no,no,no,no,no,no,23,21-30,False,False,False,False,True,False,False,False,False
4,2006-02-01,1995-01-20,32.0,11.0,Necesario,2.0,1973-03-28,SECUNDARIA,1995,1973,2006,3,28,1,癸丑,壬,子,癸,亥,乙,卯,癸,丑,乙亥,True,False,False,食神,劫財,False,False,False,False,False,比和,False,False,False,False,False,0,比肩,七殺,False,False,比肩,七殺,食神,食神,0,1,no,no,no,no,no,no,no,22,21-30,False,False,False,False,False,False,False,False,False
5,2007-02-01,1991-08-16,36.0,15.0,Necesario,2.0,1970-12-13,PROFESIONAL,1991,1970,2007,12,13,1,庚寅,庚,子,丁,卯,戊,子,庚,戌,辛未,False,False,False,偏財,食神,True,False,False,False,False,日支生日干,True,False,False,False,False,0,正財,正印,True,False,正財,傷官,傷官,七殺,1,1,yes,no,yes,no,no,no,yes,21,0-20,True,False,False,False,False,False,True,False,False
6,2007-02-01,1999-09-17,31.0,6.0,Necesario,1.0,1975-02-17,PROFESIONAL,1999,1975,2007,2,17,1,乙亥,甲,子,甲,午,戊,寅,乙,卯,己卯,False,False,False,正財,劫財,True,False,True,False,False,日干生日支,False,False,False,False,False,1,劫財,偏印,False,False,劫財,劫財,偏財,比肩,1,0,no,no,no,no,no,no,no,24,21-30,False,False,False,False,False,False,True,False,False
7,2008-02-01,2006-06-03,31.0,1.0,Voluntario,,1976-12-02,PROFESIONAL,2006,1976,2008,12,2,1,壬寅,壬,子,戊,子,己,亥,丙,辰,丙戌,False,False,False,偏印,比肩,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,偏財,七殺,True,False,偏印,比肩,劫財,偏財,1,0,no,no,no,no,no,no,no,30,21-30,True,False,False,False,False,False,False,False,False
8,2008-02-01,2001-02-09,31.0,7.0,Voluntario,,1976-11-17,PROFESIONAL,2001,1976,2008,11,17,1,辛丑,壬,子,癸,酉,己,亥,丙,辰,辛巳,False,False,False,偏印,偏財,False,True,False,False,False,日支生日干,True,False,True,False,False,1,偏印,七殺,False,False,正財,正官,七殺,劫財,1,2,yes,no,yes,no,no,no,yes,25,21-30,False,False,False,False,False,False,False,True,False
9,2011-02-01,2000-02-02,41.0,2.0,Necesario,2.0,1969-06-04,PREPARATORIA,2000,1969,2011,6,4,1,丙寅,丙,子,庚,戌,己,巳,己,酉,庚辰,False,True,False,比肩,偏印,False,False,False,False,False,日支生日干,False,False,False,False,False,0,七殺,偏財,False,True,正印,劫財,正印,正官,0,1,no,no,no,no,no,no,no,31,21-30,False,True,False,False,False,False,False,False,False
10,2011-02-01,2006-05-13,31.0,2.0,Voluntario,,1979-11-13,SECUNDARIA,2006,1979,2011,11,13,1,壬申,甲,子,甲,申,乙,亥,己,未,丙戌,False,False,False,食神,偏財,False,True,False,False,False,日支剋日干,False,True,False,False,False,0,偏印,七殺,False,False,正財,正財,劫財,偏印,2,0,no,no,no,no,no,no,no,27,21-30,False,False,False,False,False,False,False,True,False
11,2011-02-01,2007-06-08,28.0,3.0,Voluntario,,1982-09-20,PROFESIONAL,2007,1982,2011,9,20,1,辛亥,戊,子,丙,午,己,酉,壬,戌,丁亥,False,False,False,劫財,七殺,False,False,False,False,False,比和,False,False,True,False,False,0,正財,七殺,True,False,七殺,食神,傷官,正財,1,1,no,no,no,no,no,no,no,25,21-30,True,False,False,False,True,False,False,False,True
12,2011-02-01,1998-10-10,38.0,12.0,Necesario,2.0,1973-01-31,PROFESIONAL,1998,1973,2011,1,31,1,丙辰,庚,子,丁,卯,癸,丑,壬,子,戊寅,False,False,False,傷官,正印,False,False,False,False,False,日支生日干,False,True,False,False,False,0,劫財,傷官,False,False,正官,七殺,七殺,食神,0,3,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,False,False,False
13,2012-02-01,1974-01-05,63.0,37.0,Necesario,2.0,1948-04-09,,1974,1948,2012,4,9,1,戊午,甲,子,甲,子,丙,辰,戊,子,甲寅,False,False,False,比肩,比肩,False,False,False,False,False,日支生日干,False,False,False,False,False,0,偏財,食神,True,False,偏財,正印,食神,偏財,2,0,no,no,no,no,no,no,no,26,21-30,True,False,True,False,False,False,False,False,False
14,2012-02-01,2000-08-03,38.0,11.0,Necesario,,1973-07-09,PROFESIONAL,2000,1973,2012,7,9,1,丙辰,戊,子,丙,午,己,未,癸,丑,庚辰,False,False,False,偏財,食神,True,False,False,False,False,比和,False,False,False,False,False,0,比肩,食神,False,False,正官,傷官,傷官,傷官,0,1,yes,no,yes,no,no,no,yes,27,21-30,False,False,False,False,False,False,True,False,True
15,2005-03-01,2004-02-04,20.0,1.0,Voluntario,,1984-03-23,PROFESIONAL,2004,1984,2005,3,23,1,己巳,戊,子,丙,辰,丁,卯,甲,子,甲申,False,False,False,偏印,偏財,False,True,False,False,False,日干生日支,True,False,False,True,False,0,傷官,劫財,False,False,偏印,正官,劫財,正印,0,1,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,True,False
16,2005-03-01,1991-09-10,34.0,10.0,Necesario,2.0,1970-07-09,SECUNDARIA,1991,1970,2005,7,9,1,乙酉,丙,子,庚,寅,癸,未,庚,戌,辛未,False,False,False,劫財,正印,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,正財,劫財,True,False,比肩,偏印,傷官,正印,0,0,no,no,no,no,no,no,no,21,0-20,True,False,False,False,True,False,False,False,False
17,2005-03-01,1993-02-01,31.0,10.0,Necesario,2.0,1974-02-07,PREPARATORIA,1993,1974,2005,2,7,1,戊辰,甲,子,己,卯,丙,寅,甲,寅,癸酉,False,True,False,偏財,食神,True,False,False,False,False,日支剋日干,False,False,False,True,False,0,劫財,劫財,False,False,正官,正官,正印,正官,0,3,no,no,no,no,no,no,no,19,0-20,False,False,False,False,False,False,True,False,False
18,2005-03-01,1993-06-28,33.0,11.0,Necesario,1.0,1971-10-03,SECUNDARIA,1993,1971,2005,10,3,1,乙未,戊,子,辛,酉,丁,酉,辛,亥,癸酉,True,False,False,食神,比肩,False,False,False,False,False,比和,False,False,False,False,False,1,偏財,偏印,True,False,比肩,傷官,七殺,比肩,0,1,no,no,no,no,no,no,no,22,21-30,True,False,False,False,False,False,False,False,False
19,2005-03-01,1976-07-03,56.0,,Necesario,,1948-08-17,PROFESIONAL,1976,1948,2005,8,17,1,癸亥,甲,子,甲,戌,庚,申,戊,子,丙辰,False,True,False,食神,偏財,False,True,False,False,False,日干剋日支,False,False,False,False,False,0,正印,偏印,False,False,偏財,正印,七殺,七殺,1,2,no,no,no,no,no,no,no,28,21-30,False,False,False,False,False,False,False,True,False
20,2006-03-01,1998-11-12,41.0,7.0,Necesario,1.0,1964-04-03,PROFESIONAL,1998,1964,2006,4,3,1,辛未,庚,子,壬,午,丁,卯,甲,辰,戊寅,False,False,False,七殺,食神,False,False,False,False,False,日干剋日支,True,False,False,False,False,0,正印,正官,False,False,食神,七殺,正財,傷官,1,1,no,no,no,yes,no,no,no,34,31-40,False,False,False,True,False,False,False,False,False
21,2007-03-01,1996-04-30,37.0,11.0,Necesario,1.0,1969-03-03,PROFESIONAL,1996,1969,2007,3,3,1,甲子,庚,子,丁,丑,丙,寅,己,酉,丙子,False,False,True,劫財,七殺,False,False,False,False,False,日干生日支,False,True,False,False,False,0,正印,七殺,False,False,食神,偏財,劫財,正印,1,0,no,no,no,yes,no,no,no,27,21-30,False,False,False,True,False,False,False,False,True
22,2007-03-01,1987-03-19,45.0,19.0,Necesario,3.0,1961-09-26,PROFESIONAL,1987,1961,2007,9,26,1,甲午,庚,子,壬,戌,丁,酉,辛,丑,丁卯,False,False,True,正財,傷官,True,False,True,True,False,日支剋日干,False,False,False,False,False,0,食神,偏財,False,True,正印,正官,正財,正印,1,1,no,no,no,no,no,no,no,26,21-30,False,True,False,False,False,False,True,False,False
23,2010-03-01,2005-12-07,22.0,4.0,Voluntario,,1987-04-05,PREPARATORIA,2005,1987,2010,4,5,1,壬寅,甲,子,甲,申,癸,卯,丁,卯,乙酉,False,False,False,劫財,正官,False,False,False,False,False,日支剋日干,False,True,False,False,False,1,偏印,比肩,False,False,傷官,劫財,正印,劫財,0,0,no,no,no,no,no,no,no,18,0-20,False,False,True,False,False,False,False,False,False
24,2010-03-01,2002-03-22,41.0,3.0,Necesario,1.0,1968-05-31,PROFESIONAL,2002,1968,2010,5,31,1,辛酉,戊,子,辛,丑,丁,巳,戊,申,壬午,False,False,False,傷官,正官,False,False,False,False,False,日支生日干,False,False,False,False,False,0,比肩,比肩,False,False,正印,劫財,七殺,七殺,0,2,no,no,no,no,yes,yes,yes,34,31-40,False,False,False,False,False,False,False,False,False
25,2011-03-01,2007-10-24,26.0,3.0,Necesario,1.0,1984-03-09,,2007,1984,2011,3,9,1,己巳,庚,子,壬,寅,丁,卯,甲,子,丁亥,False,False,True,正財,比肩,True,False,True,True,False,日干生日支,False,False,False,False,False,0,正官,正財,False,True,食神,劫財,正財,傷官,1,0,no,no,no,no,no,no,no,23,21-30,False,True,False,False,False,False,True,False,False
26,2012-03-01,1999-01-22,31.0,12.0,Necesario,1.0,1980-05-30,,1999,1980,2012,5,30,1,癸未,壬,子,癸,卯,辛,巳,庚,申,己卯,True,False,False,七殺,食神,False,False,False,False,False,日干生日支,False,False,False,False,False,0,比肩,七殺,False,False,正印,正印,偏印,偏財,1,0,no,no,no,no,no,no,no,19,0-20,False,False,False,False,False,False,False,False,False
27,2013-03-01,2008-02-08,31.0,3.0,Voluntario,,1981-09-25,PREPARATORIA,2008,1981,2013,9,25,1,甲午,戊,子,丙,午,丁,酉,辛,酉,戊子,False,True,False,食神,正官,False,False,False,False,False,比和,False,False,False,False,False,0,偏印,比肩,False,False,正財,正財,劫財,正財,3,0,no,no,no,no,no,no,no,27,21-30,False,False,False,False,False,False,False,False,False
28,2013-03-01,2004-12-13,26.0,6.0,Necesario,2.0,1986-08-30,SECUNDARIA,2004,1986,2013,8,30,1,戊戌,戊,子,丙,午,丙,申,丙,寅,甲申,False,False,False,偏印,偏財,False,True,False,False,False,比和,False,False,False,False,False,0,食神,食神,False,False,比肩,偏印,比肩,偏財,1,0,no,no,no,no,yes,yes,yes,18,0-20,False,False,False,False,False,False,False,True,False
29,2002-04-01,2001-02-13,20.0,1.0,Voluntario,,1981-08-08,PREPARATORIA,2001,1981,2002,8,8,1,癸巳,壬,子,戊,午,丙,申,辛,酉,辛巳,False,False,False,傷官,正印,False,False,False,False,False,日支生日干,False,True,False,False,False,0,正財,正印,True,False,傷官,傷官,偏印,食神,0,0,no,no,no,no,no,no,no,20,0-20,True,False,False,False,True,False,False,False,True
30,2002-04-01,1989-05-26,33.0,12.0,Voluntario,2.0,1968-05-09,PRIMARIA,1989,1968,2002,5,9,1,己未,甲,子,己,卯,丁,巳,戊,申,己巳,False,False,False,比肩,偏印,False,False,False,False,False,日支剋日干,False,False,False,False,False,0,比肩,比肩,False,False,劫財,傷官,偏印,偏印,0,0,no,no,no,no,no,no,no,21,0-20,False,False,False,False,False,False,False,False,False
31,2003-04-01,1996-04-15,25.0,6.0,Voluntario,,1977-12-17,PRIMARIA,1996,1977,2003,12,17,1,庚戌,壬,子,戊,申,壬,子,丁,巳,丙子,False,False,False,偏印,正財,False,True,False,False,False,日干生日支,True,False,False,False,False,0,食神,比肩,False,False,正印,正印,偏財,正財,2,0,yes,no,yes,no,no,no,yes,19,0-20,False,False,False,False,False,False,False,True,False
32,2003-04-01,1999-11-03,27.0,3.0,Voluntario,1.0,1975-12-26,PREPARATORIA,1999,1975,2003,12,26,1,丙戌,戊,子,丙,午,戊,子,乙,卯,己卯,False,False,False,傷官,正印,False,False,False,False,False,比和,False,False,False,False,False,0,比肩,食神,False,False,正印,正印,食神,正官,0,1,no,no,no,no,no,no,no,24,21-30,False,False,False,False,False,False,False,False,False
33,2005-04-01,2003-10-23,21.0,1.0,Necesario,,1983-05-02,PREPARATORIA,2003,1983,2005,5,2,1,甲寅,丙,子,庚,寅,丙,辰,癸,亥,癸未,False,False,False,傷官,正印,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,偏財,偏財,True,True,傷官,食神,七殺,偏印,0,1,yes,no,yes,no,no,no,yes,20,0-20,True,True,False,False,False,False,False,False,False
34,2008-04-01,2001-05-30,43.0,5.0,Necesario,1.0,1964-04-11,PROFESIONAL,2001,1964,2008,4,11,1,辛未,丙,子,庚,寅,戊,辰,甲,辰,辛巳,False,False,False,劫財,正官,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,劫財,正印,False,False,偏財,偏印,偏印,偏印,1,0,no,no,no,no,no,no,no,37,31-40,False,False,False,False,False,False,False,False,False
35,2009-04-01,1985-04-12,43.0,23.0,Voluntario,1.0,1966-02-25,SECUNDARIA,1985,1966,2009,2,25,1,壬辰,丙,子,乙,卯,庚,寅,丙,午,乙丑,False,False,False,比肩,偏財,False,True,False,False,False,比和,False,False,False,False,False,1,正印,正財,False,True,傷官,傷官,正官,劫財,0,1,no,no,no,no,no,no,no,19,0-20,False,True,False,False,False,False,False,True,False
36,2009-04-01,1986-01-27,53.0,22.0,Necesario,2.0,1955-10-15,PROFESIONAL,1986,1955,2009,10,15,1,癸未,甲,子,己,酉,丙,戌,乙,未,丙寅,False,False,False,正印,正官,False,False,False,False,False,日干生日支,False,False,False,False,False,1,偏財,比肩,True,False,七殺,比肩,正印,劫財,0,1,no,no,no,no,no,no,no,31,21-30,True,False,False,False,False,False,False,False,False
37,2009-04-01,2001-04-21,53.0,7.0,Necesario,,1955-04-19,PROFESIONAL,2001,1955,2009,4,19,1,乙亥,丙,子,庚,戌,庚,辰,乙,未,辛巳,False,False,False,劫財,正官,False,False,False,False,False,日支生日干,False,False,False,False,False,0,正財,食神,True,False,正財,正印,比肩,偏印,1,0,no,no,no,no,no,no,no,46,41-50,True,False,False,False,True,False,False,False,False
38,2009-04-01,2000-10-13,30.0,6.0,Necesario,1.0,1979-01-01,PROFESIONAL,2000,1979,2009,1,1,1,丁卯,壬,子,戊,辰,甲,子,戊,午,庚辰,True,False,False,食神,比肩,False,False,False,False,False,比和,False,False,False,False,False,0,正印,正官,False,False,比肩,偏印,七殺,正財,1,1,no,no,no,no,no,no,no,21,0-20,False,False,False,False,False,False,False,False,False
39,2000-06-01,1989-08-19,32.0,10.0,Voluntario,1.0,1967-07-15,SECUNDARIA,1989,1967,2000,7,15,1,甲辰,丙,子,庚,辰,丁,未,丁,未,己巳,False,False,False,正印,正官,False,False,False,False,False,日支生日干,False,False,False,False,False,0,偏財,偏印,True,False,正官,正印,正官,正印,0,2,no,no,no,no,no,no,no,22,21-30,True,False,False,False,False,False,False,False,False
40,2000-06-01,1997-07-26,32.0,2.0,Necesario,,1967-06-18,PROFESIONAL,1997,1967,2000,6,18,1,癸卯,壬,子,癸,丑,丙,午,丁,未,丁丑,True,False,False,偏財,七殺,True,False,False,False,False,日支剋日干,False,False,False,False,False,0,比肩,食神,False,False,偏財,七殺,正財,正財,3,1,no,no,no,no,no,no,no,30,21-30,False,False,False,False,False,False,True,False,False
41,2001-06-01,1996-01-27,34.0,5.0,Voluntario,,1966-09-16,PROFESIONAL,1996,1966,2001,9,16,1,庚子,壬,子,戊,寅,丁,酉,丙,午,丙子,False,False,False,偏印,正財,False,True,False,False,False,日支剋日干,False,False,False,False,False,0,食神,正財,False,True,偏印,偏印,正印,傷官,0,0,no,no,no,no,no,no,no,30,21-30,False,True,False,False,False,False,False,True,True
42,2004-06-01,1972-02-04,56.0,,Necesario,,1948-05-01,PRIMARIA,1972,1948,2004,5,1,1,己未,戊,子,丙,戌,丙,辰,戊,子,壬子,False,False,False,七殺,正官,False,False,False,False,False,日干生日支,False,False,False,False,False,0,傷官,傷官,False,False,食神,正官,比肩,食神,0,1,no,no,no,no,no,no,no,24,21-30,False,False,False,False,False,False,False,False,False
43,2004-06-01,2000-10-14,38.0,3.0,Voluntario,,1966-03-21,PROFESIONAL,2000,1966,2004,3,21,1,甲午,甲,子,己,卯,辛,卯,丙,午,庚辰,False,False,False,傷官,劫財,False,False,False,False,False,日支剋日干,False,True,False,False,False,0,正官,正印,False,False,正印,正印,食神,七殺,0,1,no,no,no,no,no,no,no,34,31-40,False,False,False,False,True,False,False,False,False
44,2004-06-01,1998-11-28,34.0,5.0,Voluntario,1.0,1970-04-03,PREPARATORIA,1998,1970,2004,4,3,1,壬午,壬,子,癸,丑,己,卯,庚,戌,戊寅,False,False,False,正官,傷官,False,False,True,False,False,日支剋日干,False,False,False,False,False,0,劫財,正財,False,True,正印,正官,七殺,食神,0,2,no,no,no,no,no,no,no,28,21-30,False,True,False,False,False,False,False,False,False
45,2005-06-01,2003-05-03,32.0,4.0,Voluntario,,1973-01-13,PROFESIONAL,2003,1973,2005,1,13,1,丙辰,甲,子,己,酉,癸,丑,壬,子,癸未,False,False,False,偏財,比肩,True,False,False,False,False,日干生日支,False,False,False,False,False,1,正印,劫財,False,False,正財,偏財,偏財,比肩,3,0,no,no,no,yes,no,no,no,30,21-30,False,False,False,True,False,False,True,False,False
46,2006-06-01,2004-03-20,29.0,2.0,Voluntario,,1976-07-04,PREPARATORIA,2004,1976,2006,7,4,1,丁酉,庚,子,丁,巳,甲,午,丙,辰,甲申,False,False,True,正印,正財,False,True,False,False,False,比和,False,False,False,False,False,1,比肩,偏財,False,True,劫財,傷官,正印,劫財,0,0,no,no,no,no,no,no,no,28,21-30,False,True,False,False,False,False,False,True,False
47,2006-06-01,2005-02-02,62.0,1.0,Voluntario,,1943-07-26,PRIMARIA,2005,1943,2006,7,26,1,癸丑,丙,子,乙,酉,己,未,癸,未,乙酉,True,False,False,比肩,七殺,False,False,False,False,False,日支剋日干,False,False,False,False,False,0,偏印,偏財,False,True,偏印,偏財,偏財,偏財,3,0,no,no,no,no,no,no,no,62,51+,False,True,False,False,False,False,False,False,False
48,2006-06-01,1997-04-02,26.0,9.0,Necesario,1.0,1979-07-18,PREPARATORIA,1997,1979,2006,7,18,1,己巳,戊,子,丙,戌,辛,未,己,未,丁丑,False,False,False,劫財,傷官,False,False,False,False,False,日干生日支,False,False,False,False,False,0,傷官,劫財,False,False,傷官,傷官,正財,傷官,1,0,no,no,no,no,no,no,no,18,0-20,False,False,False,False,False,False,False,False,False
49,2006-06-01,2000-08-11,26.0,6.0,Necesario,1.0,1979-06-09,SECUNDARIA,2000,1979,2006,6,9,1,丁卯,庚,子,丁,未,庚,午,己,未,庚辰,False,False,False,正財,傷官,True,False,False,False,False,日干生日支,False,False,False,False,False,1,比肩,偏印,False,False,食神,食神,正財,劫財,1,0,yes,no,yes,no,no,no,yes,21,0-20,False,False,False,False,False,False,True,False,False
50,2006-06-01,1993-12-16,43.0,12.0,Necesario,2.0,1963-05-29,PROFESIONAL,1993,1963,2006,5,29,1,甲寅,庚,子,壬,申,丁,巳,癸,卯,癸酉,False,False,False,劫財,正印,False,False,False,False,False,日支生日干,False,True,False,False,False,0,食神,食神,False,False,劫財,傷官,正財,正財,2,0,yes,no,yes,no,no,no,yes,30,21-30,False,False,True,False,False,False,False,False,False
51,2007-06-01,2005-08-13,34.0,1.0,Voluntario,,1972-11-27,PROFESIONAL,2005,1972,2007,11,27,1,甲寅,庚,子,壬,戌,辛,亥,壬,子,乙酉,False,False,False,傷官,正印,False,False,False,False,False,日支剋日干,False,True,False,False,False,1,食神,食神,False,False,比肩,劫財,正印,比肩,0,0,no,no,no,no,no,no,no,33,31-40,False,False,False,False,False,False,False,False,False
52,2010-06-01,1980-10-10,52.0,28.0,Necesario,2.0,1957-06-02,PROFESIONAL,1980,1957,2010,6,2,1,癸卯,丙,子,乙,巳,乙,巳,丁,酉,庚申,False,False,True,正官,正官,False,False,True,True,False,日干生日支,False,False,False,False,False,0,偏印,比肩,False,False,食神,七殺,比肩,食神,0,1,no,no,no,no,no,no,no,23,21-30,False,False,False,False,False,False,False,False,False
53,2010-06-01,2009-02-16,20.0,1.0,Voluntario,,1989-10-19,PROFESIONAL,2009,1989,2010,10,19,1,壬申,庚,子,壬,子,甲,戌,己,巳,己丑,False,False,True,正官,正官,False,False,False,False,False,比和,False,True,False,False,False,0,比肩,偏印,False,False,正官,正財,食神,七殺,1,2,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,False,False
54,2011-06-01,2010-01-26,32.0,1.0,Voluntario,,1979-04-22,PRIMARIA,2010,1979,2011,4,22,1,乙丑,甲,子,己,未,戊,辰,己,未,庚寅,False,False,False,傷官,正官,False,False,False,False,False,比和,False,False,False,False,False,1,七殺,比肩,False,False,比肩,比肩,劫財,劫財,0,0,no,no,no,no,no,no,no,31,21-30,False,False,True,False,False,False,False,False,False
55,2011-06-01,2009-08-15,33.0,1.0,Voluntario,,1978-04-10,PROFESIONAL,2009,1978,2011,4,10,1,己未,庚,子,壬,寅,丙,辰,戊,午,己丑,False,False,False,正官,正官,False,False,False,False,False,日干生日支,False,False,False,False,False,0,正官,正官,False,False,七殺,偏財,偏財,七殺,2,2,no,no,no,no,no,no,no,31,21-30,False,False,False,False,False,False,False,False,False
56,2012-06-01,1995-10-13,41.0,13.0,Necesario,2.0,1971-02-23,PREPARATORIA,1995,1971,2012,2,23,1,戊子,甲,子,己,卯,庚,寅,辛,亥,乙亥,False,False,False,七殺,正財,False,True,False,False,False,日支剋日干,True,False,False,False,False,0,劫財,偏財,False,True,食神,正財,傷官,正官,1,1,no,no,no,no,no,no,no,24,21-30,False,True,False,False,False,False,False,True,False
57,2012-06-01,2009-07-16,26.0,20.0,Necesario,1.0,1985-08-04,SECUNDARIA,2009,1985,2012,8,4,1,辛巳,丙,子,乙,亥,癸,未,乙,丑,己丑,False,False,False,偏財,偏財,True,True,False,False,True,日支生日干,False,True,False,False,False,0,七殺,食神,False,False,比肩,偏財,偏印,偏財,2,0,no,no,no,no,no,no,no,24,21-30,False,False,True,False,False,False,True,True,False
58,2012-06-01,1997-12-23,40.0,10.0,Necesario,2.0,1971-07-26,PROFESIONAL,1997,1971,2012,7,26,1,壬辰,庚,子,壬,子,乙,未,辛,亥,丁丑,False,False,True,正財,正官,True,False,True,True,False,比和,False,True,False,False,False,0,比肩,七殺,False,False,正印,比肩,傷官,正官,0,1,no,no,no,no,no,no,no,26,21-30,False,False,False,False,False,False,True,False,False
59,2002-07-01,1985-02-22,45.0,17.0,Voluntario,1.0,1956-10-03,PROFESIONAL,1985,1956,2002,10,3,1,庚子,壬,子,癸,卯,丁,酉,丙,申,乙丑,False,False,False,食神,七殺,False,False,False,False,False,日干生日支,False,False,False,True,False,0,正印,比肩,False,False,正財,正印,偏財,偏印,2,0,no,no,no,no,no,no,no,29,21-30,False,False,False,False,False,False,False,False,False
60,2003-07-01,1968-01-15,53.0,35.0,Necesario,2.0,1949-08-19,SECUNDARIA,1968,1949,2003,8,19,1,庚午,戊,子,辛,巳,壬,申,己,丑,戊申,False,False,True,正印,劫財,False,False,False,False,False,日支剋日干,False,False,False,False,False,1,劫財,正官,False,False,偏印,偏印,傷官,劫財,0,0,yes,no,yes,no,no,no,yes,19,0-20,False,False,False,False,False,False,False,False,False
61,2003-07-01,1983-09-05,39.0,9.0,Necesario,1.0,1964-04-15,PRIMARIA,1983,1964,2003,4,15,1,庚午,甲,子,甲,午,戊,辰,甲,辰,癸亥,False,False,False,正印,偏印,False,False,False,False,False,日干生日支,False,False,True,False,False,0,七殺,食神,False,False,比肩,偏財,偏財,偏財,3,0,no,no,no,no,no,no,no,19,0-20,False,False,False,False,False,False,False,False,False
62,2003-07-01,1991-04-12,33.0,12.0,Voluntario,2.0,1970-06-24,PREPARATORIA,1991,1970,2003,6,24,1,甲申,丙,子,乙,亥,壬,午,庚,戌,辛未,False,False,False,七殺,偏財,False,True,False,False,False,日支生日干,True,False,False,False,False,0,劫財,正官,False,False,正官,正財,正印,傷官,1,1,no,no,no,no,no,no,no,21,0-20,False,False,False,False,False,False,False,True,False
63,2004-07-01,1996-01-06,34.0,8.0,Voluntario,2.0,1970-01-29,PREPARATORIA,1996,1970,2004,1,29,1,乙亥,甲,子,己,酉,丁,丑,己,酉,丙子,False,False,False,正印,偏財,False,True,False,False,False,日干生日支,False,False,False,False,False,1,七殺,正財,False,True,比肩,食神,偏印,比肩,0,0,no,no,no,no,no,no,no,26,21-30,False,True,False,False,False,False,False,True,False
64,2005-07-01,1999-06-25,26.0,,Necesario,,1979-05-31,SECUNDARIA,1999,1979,2005,5,31,1,丁卯,壬,子,戊,戌,己,巳,己,未,己卯,False,False,True,劫財,正官,False,False,False,False,False,比和,False,False,False,False,False,0,正印,正官,False,False,劫財,劫財,劫財,正印,0,0,no,no,no,yes,no,no,no,20,0-20,False,False,False,True,False,False,False,False,True
65,2008-07-01,2003-02-07,41.0,5.0,Voluntario,,1967-01-24,SECUNDARIA,2003,1967,2008,1,24,1,乙巳,壬,子,戊,子,辛,丑,丙,午,癸未,False,False,False,正財,劫財,True,False,True,False,False,日干剋日支,False,False,False,False,False,1,正官,正印,False,False,偏印,偏印,傷官,劫財,0,0,yes,no,yes,no,no,no,yes,36,31-40,False,False,False,False,False,False,True,False,False
