uniqueid,Age_partner_man,DOB_partner_man,bazi_man,Marriage_duration,man日干,year_of_marriage,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,countScore
1900,67.0,1945-03-07,"['乙', '酉', '己', '卯', '乙', '亥', '丙', '子']",7.0,乙,2005,乙酉,False,False,False,比肩,七殺,False,False,False,False,False,日支生日干,False,False,False,0
1907,38.0,1964-04-07,"['甲', '辰', '戊', '辰', '丙', '戌', '戊', '子']",7.0,丙,1995,乙亥,False,False,False,正印,七殺,False,False,False,False,False,日干生日支,False,False,False,0
1909,46.0,1956-04-12,"['丙', '申', '壬', '辰', '己', '酉', '甲', '子']",24.0,己,1978,戊午,False,False,False,劫財,正印,False,False,False,False,False,日干生日支,False,False,False,0
1918,35.0,1965-03-10,"['乙', '巳', '己', '卯', '癸', '亥', '壬', '子']",8.0,癸,1992,壬申,False,False,False,劫財,正印,False,False,False,False,False,比和,False,False,False,0
1932,73.0,1929-11-29,"['己', '巳', '乙', '亥', '戊', '寅', '壬', '子']",44.0,戊,1949,己丑,False,False,False,劫財,劫財,False,False,False,False,False,日支剋日干,False,False,False,0
1936,27.0,1985-10-06,"['乙', '丑', '乙', '酉', '戊', '寅', '壬', '子']",2.0,戊,2009,己丑,False,False,False,劫財,劫財,False,False,False,False,False,日支剋日干,False,False,False,0
1941,44.0,1957-03-24,"['丁', '酉', '癸', '卯', '乙', '未', '丙', '子']",15.0,乙,1986,丙寅,False,False,False,傷官,劫財,False,False,False,False,False,日干剋日支,False,False,False,0
1942,37.0,1964-05-30,"['甲', '辰', '己', '巳', '己', '卯', '甲', '子']",12.0,己,1989,己巳,False,False,False,比肩,偏印,False,False,False,False,False,日支剋日干,False,False,False,0
1943,27.0,1975-03-30,"['乙', '卯', '己', '卯', '乙', '亥', '丙', '子']",8.0,乙,1993,癸酉,False,False,False,偏印,七殺,False,False,False,False,False,日支生日干,False,False,False,0
1953,37.0,1975-12-10,"['乙', '卯', '戊', '子', '庚', '寅', '丙', '子']",9.0,庚,2003,癸未,False,False,False,傷官,正印,False,False,False,False,False,日干剋日支,False,False,False,0
1957,31.0,1970-09-18,"['庚', '戌', '乙', '酉', '辛', '丑', '戊', '子']",9.0,辛,1992,壬申,False,False,False,傷官,劫財,False,False,False,False,False,日支生日干,False,False,False,0
1958,29.0,1975-05-28,"['乙', '卯', '辛', '巳', '甲', '戌', '甲', '子']",3.0,甲,2001,辛巳,False,False,False,正官,傷官,False,False,False,False,False,日干剋日支,False,False,False,0
1963,51.0,1958-08-29,"['戊', '戌', '庚', '申', '戊', '寅', '壬', '子']",30.0,戊,1979,己未,False,False,False,劫財,劫財,False,False,False,False,False,日支剋日干,False,False,False,0
1968,39.0,1962-05-02,"['壬', '寅', '甲', '辰', '庚', '子', '丙', '子']",21.0,庚,1979,己未,False,False,False,正印,正印,False,False,False,False,False,日干生日支,False,False,False,0
1969,43.0,1959-06-08,"['己', '亥', '庚', '午', '辛', '酉', '戊', '子']",19.0,辛,1983,癸亥,False,False,False,食神,傷官,False,False,False,False,False,比和,False,False,False,0
1970,34.0,1968-02-22,"['戊', '申', '甲', '寅', '壬', '戌', '庚', '子']",11.0,壬,1991,辛未,False,False,False,正印,正官,False,False,False,False,False,日支剋日干,False,False,False,0
1971,29.0,1973-06-23,"['癸', '丑', '戊', '午', '庚', '寅', '丙', '子']",5.0,庚,1997,丁丑,False,False,False,正官,正印,False,False,False,False,False,日干剋日支,False,False,False,0
1973,44.0,1966-07-31,"['丙', '午', '乙', '未', '辛', '卯', '戊', '子']",8.0,辛,2002,壬午,False,False,False,傷官,正官,False,False,False,False,False,日干剋日支,False,False,False,0
1982,55.0,1946-01-08,"['乙', '酉', '己', '丑', '壬', '午', '庚', '子']",30.0,壬,1969,己酉,False,False,False,正官,正印,False,False,False,False,False,日干剋日支,False,False,False,0
1990,53.0,1953-01-30,"['壬', '辰', '癸', '丑', '辛', '巳', '戊', '子']",24.0,辛,1982,壬戌,False,False,False,傷官,正印,False,False,False,False,False,日支剋日干,False,False,False,0
1993,25.0,1985-12-15,"['乙', '丑', '戊', '子', '戊', '子', '壬', '子']",4.0,戊,2006,丙戌,False,False,False,偏印,比肩,False,False,False,False,False,日干剋日支,False,False,False,0
2002,51.0,1953-06-24,"['癸', '巳', '戊', '午', '丙', '午', '戊', '子']",22.0,丙,1973,癸丑,False,False,False,正官,傷官,False,False,False,False,False,比和,False,False,False,0
2004,23.0,1985-07-18,"['乙', '丑', '癸', '未', '戊', '午', '壬', '子']",5.0,戊,2004,甲申,False,False,False,七殺,食神,False,False,False,False,False,日支生日干,False,False,False,0
2008,33.0,1967-10-12,"['丁', '未', '庚', '戌', '己', '酉', '甲', '子']",10.0,己,1990,庚午,False,False,False,傷官,正印,False,False,False,False,False,日干生日支,False,False,False,0
2010,30.0,1973-08-12,"['癸', '丑', '庚', '申', '庚', '辰', '丙', '子']",6.0,庚,1997,丁丑,False,False,False,正官,正印,False,False,False,False,False,日支生日干,False,False,False,0
2019,24.0,1976-07-04,"['丙', '辰', '甲', '午', '丁', '巳', '庚', '子']",3.0,丁,1998,戊寅,False,False,False,傷官,正印,False,False,False,False,False,比和,False,False,False,0
2025,43.0,1958-08-25,"['戊', '戌', '庚', '申', '甲', '戌', '甲', '子']",17.0,甲,1984,甲子,False,False,False,比肩,正印,False,False,False,False,False,日干剋日支,False,False,False,0
2027,34.0,1972-03-21,"['壬', '子', '癸', '卯', '辛', '亥', '戊', '子']",14.0,辛,1992,壬申,False,False,False,傷官,劫財,False,False,False,False,False,日干生日支,False,False,False,0
2029,51.0,1955-06-20,"['乙', '未', '壬', '午', '壬', '子', '庚', '子']",30.0,壬,1975,乙卯,False,False,False,傷官,傷官,False,False,False,False,False,比和,False,False,False,0
2037,33.0,1971-10-08,"['辛', '亥', '戊', '戌', '丙', '寅', '戊', '子']",8.0,丙,1997,丁丑,False,False,False,劫財,傷官,False,False,False,False,False,日支生日干,False,False,False,0
2043,63.0,1946-11-01,"['丙', '戌', '戊', '戌', '己', '卯', '甲', '子']",21.0,己,1989,己巳,False,False,False,比肩,偏印,False,False,False,False,False,日支剋日干,False,False,False,0
2048,25.0,1981-05-28,"['辛', '酉', '癸', '巳', '丙', '午', '戊', '子']",5.0,丙,1999,己卯,False,False,False,傷官,正印,False,False,False,False,False,比和,False,False,False,0
2050,33.0,1974-04-28,"['甲', '寅', '戊', '辰', '己', '亥', '甲', '子']",7.0,己,2000,庚辰,False,False,False,傷官,劫財,False,False,False,False,False,日干剋日支,False,False,False,0
