,日柱,year_ganzi,count,num_marriage_of_this_日主,流年_percentage
335,壬午,戊子,60,804,7.463
339,壬午,癸未,53,804,6.592
336,壬午,甲午,52,804,6.468
328,壬午,乙未,50,804,6.219
332,壬午,己丑,47,804,5.846
326,壬午,丙戌,45,804,5.597
330,壬午,壬午,45,804,5.597
340,壬午,辛卯,44,804,5.473
337,壬午,甲申,43,804,5.348
324,壬午,丁亥,41,804,5.1
329,壬午,乙酉,38,804,4.726
327,壬午,丙申,31,804,3.856
341,壬午,辛巳,28,804,3.483
334,壬午,庚辰,19,804,2.363
325,壬午,丁酉,11,804,1.368
322,乙酉,辛卯,79,934,8.458
320,乙酉,癸巳,78,934,8.351
311,乙酉,乙酉,74,934,7.923
306,乙酉,丁亥,71,934,7.602
314,乙酉,己丑,63,934,6.745
315,乙酉,庚寅,61,934,6.531
308,乙酉,丙戌,60,934,6.424
317,乙酉,戊子,59,934,6.317
313,乙酉,壬辰,58,934,6.21
319,乙酉,甲申,56,934,5.996
312,乙酉,壬午,52,934,5.567
321,乙酉,癸未,52,934,5.567
318,乙酉,甲午,49,934,5.246
310,乙酉,乙未,43,934,4.604
316,乙酉,庚辰,25,934,2.677
309,乙酉,丙申,24,934,2.57
323,乙酉,辛巳,19,934,2.034
307,乙酉,丁酉,11,934,1.178
293,乙未,乙酉,69,874,7.895
290,乙未,丙戌,67,874,7.666
299,乙未,戊子,64,874,7.323
300,乙未,甲午,63,874,7.208
288,乙未,丁亥,62,874,7.094
304,乙未,辛卯,60,874,6.865
302,乙未,癸巳,57,874,6.522
303,乙未,癸未,55,874,6.293
296,乙未,己丑,52,874,5.95
301,乙未,甲申,50,874,5.721
297,乙未,庚寅,49,874,5.606
295,乙未,壬辰,48,874,5.492
294,乙未,壬午,42,874,4.805
292,乙未,乙未,39,874,4.462
291,乙未,丙申,35,874,4.005
305,乙未,辛巳,26,874,2.975
298,乙未,庚辰,24,874,2.746
289,乙未,丁酉,12,874,1.373
278,乙巳,己丑,61,808,7.55
286,乙巳,辛卯,60,808,7.426
270,乙巳,丁亥,59,808,7.302
282,乙巳,甲午,58,808,7.178
284,乙巳,癸巳,57,808,7.054
277,乙巳,壬辰,56,808,6.931
272,乙巳,丙戌,53,808,6.559
275,乙巳,乙酉,53,808,6.559
279,乙巳,庚寅,51,808,6.312
281,乙巳,戊子,50,808,6.188
283,乙巳,甲申,50,808,6.188
285,乙巳,癸未,45,808,5.569
274,乙巳,乙未,42,808,5.198
276,乙巳,壬午,36,808,4.455
273,乙巳,丙申,28,808,3.465
287,乙巳,辛巳,21,808,2.599
271,乙巳,丁酉,14,808,1.733
280,乙巳,庚辰,14,808,1.733
264,乙卯,甲午,63,772,8.161
266,乙卯,癸巳,63,772,8.161
268,乙卯,辛卯,58,772,7.513
259,乙卯,壬辰,55,772,7.124
260,乙卯,己丑,55,772,7.124
252,乙卯,丁亥,48,772,6.218
261,乙卯,庚寅,47,772,6.088
256,乙卯,乙未,45,772,5.829
254,乙卯,丙戌,44,772,5.699
263,乙卯,戊子,43,772,5.57
257,乙卯,乙酉,41,772,5.311
258,乙卯,壬午,41,772,5.311
267,乙卯,癸未,40,772,5.181
265,乙卯,甲申,37,772,4.793
255,乙卯,丙申,33,772,4.275
262,乙卯,庚辰,27,772,3.497
269,乙卯,辛巳,20,772,2.591
253,乙卯,丁酉,12,772,1.554
248,乙亥,癸巳,62,756,8.201
234,乙亥,丁亥,59,756,7.804
239,乙亥,乙酉,56,756,7.407
250,乙亥,辛卯,53,756,7.011
241,乙亥,壬辰,51,756,6.746
242,乙亥,己丑,51,756,6.746
236,乙亥,丙戌,47,756,6.217
243,乙亥,庚寅,47,756,6.217
246,乙亥,甲午,47,756,6.217
245,乙亥,戊子,46,756,6.085
249,乙亥,癸未,45,756,5.952
238,乙亥,乙未,42,756,5.556
247,乙亥,甲申,41,756,5.423
240,乙亥,壬午,38,756,5.026
237,乙亥,丙申,23,756,3.042
251,乙亥,辛巳,20,756,2.646
244,乙亥,庚辰,18,756,2.381
235,乙亥,丁酉,10,756,1.323
228,乙丑,甲午,73,812,8.99
232,乙丑,辛卯,61,812,7.512
230,乙丑,癸巳,59,812,7.266
223,乙丑,壬辰,58,812,7.143
231,乙丑,癸未,56,812,6.897
225,乙丑,庚寅,54,812,6.65
221,乙丑,乙酉,51,812,6.281
224,乙丑,己丑,50,812,6.158
216,乙丑,丁亥,48,812,5.911
227,乙丑,戊子,48,812,5.911
218,乙丑,丙戌,44,812,5.419
229,乙丑,甲申,44,812,5.419
219,乙丑,丙申,43,812,5.296
222,乙丑,壬午,39,812,4.803
220,乙丑,乙未,31,812,3.818
233,乙丑,辛巳,26,812,3.202
226,乙丑,庚辰,17,812,2.094
217,乙丑,丁酉,10,812,1.232
212,丙辰,癸巳,64,788,8.122
210,丙辰,甲午,60,788,7.614
203,丙辰,乙酉,57,788,7.234
207,丙辰,庚寅,56,788,7.107
209,丙辰,戊子,54,788,6.853
205,丙辰,壬辰,53,788,6.726
198,丙辰,丁亥,51,788,6.472
213,丙辰,癸未,51,788,6.472
214,丙辰,辛卯,51,788,6.472
200,丙辰,丙戌,46,788,5.838
211,丙辰,甲申,44,788,5.584
206,丙辰,己丑,42,788,5.33
202,丙辰,乙未,40,788,5.076
204,丙辰,壬午,39,788,4.949
201,丙辰,丙申,32,788,4.061
215,丙辰,辛巳,22,788,2.792
208,丙辰,庚辰,18,788,2.284
199,丙辰,丁酉,8,788,1.015
194,丙申,癸巳,71,758,9.367
192,丙申,甲午,63,758,8.311
196,丙申,辛卯,61,758,8.047
186,丙申,壬午,49,758,6.464
193,丙申,甲申,49,758,6.464
187,丙申,壬辰,46,758,6.069
180,丙申,丁亥,45,758,5.937
184,丙申,乙未,45,758,5.937
182,丙申,丙戌,44,758,5.805
188,丙申,己丑,43,758,5.673
189,丙申,庚寅,43,758,5.673
183,丙申,丙申,41,758,5.409
191,丙申,戊子,41,758,5.409
185,丙申,乙酉,40,758,5.277
195,丙申,癸未,29,758,3.826
190,丙申,庚辰,22,758,2.902
181,丙申,丁酉,13,758,1.715
197,丙申,辛巳,13,758,1.715
176,丙戌,癸巳,72,826,8.717
174,丙戌,甲午,59,826,7.143
169,丙戌,壬辰,58,826,7.022
173,丙戌,戊子,57,826,6.901
171,丙戌,庚寅,56,826,6.78
178,丙戌,辛卯,56,826,6.78
177,丙戌,癸未,55,826,6.659
166,丙戌,乙未,53,826,6.416
164,丙戌,丙戌,51,826,6.174
162,丙戌,丁亥,48,826,5.811
167,丙戌,乙酉,46,826,5.569
170,丙戌,己丑,44,826,5.327
175,丙戌,甲申,43,826,5.206
168,丙戌,壬午,35,826,4.237
179,丙戌,辛巳,33,826,3.995
165,丙戌,丙申,25,826,3.027
172,丙戌,庚辰,18,826,2.179
163,丙戌,丁酉,17,826,2.058
151,丙寅,壬辰,69,844,8.175
158,丙寅,癸巳,67,844,7.938
146,丙寅,丙戌,64,844,7.583
153,丙寅,庚寅,63,844,7.464
156,丙寅,甲午,57,844,6.754
160,丙寅,辛卯,56,844,6.635
155,丙寅,戊子,54,844,6.398
157,丙寅,甲申,54,844,6.398
152,丙寅,己丑,49,844,5.806
148,丙寅,乙未,48,844,5.687
159,丙寅,癸未,48,844,5.687
149,丙寅,乙酉,46,844,5.45
144,丙寅,丁亥,44,844,5.213
150,丙寅,壬午,42,844,4.976
147,丙寅,丙申,28,844,3.318
154,丙寅,庚辰,21,844,2.488
161,丙寅,辛巳,21,844,2.488
145,丙寅,丁酉,13,844,1.54
133,丙子,壬辰,71,830,8.554
140,丙子,癸巳,68,830,8.193
138,丙子,甲午,59,830,7.108
142,丙子,辛卯,59,830,7.108
134,丙子,己丑,58,830,6.988
135,丙子,庚寅,57,830,6.867
128,丙子,丙戌,55,830,6.627
126,丙子,丁亥,54,830,6.506
139,丙子,甲申,51,830,6.145
130,丙子,乙未,49,830,5.904
131,丙子,乙酉,47,830,5.663
141,丙子,癸未,46,830,5.542
137,丙子,戊子,41,830,4.94
132,丙子,壬午,36,830,4.337
129,丙子,丙申,25,830,3.012
143,丙子,辛巳,22,830,2.651
136,丙子,庚辰,19,830,2.289
127,丙子,丁酉,13,830,1.566
113,丙午,乙酉,66,864,7.639
122,丙午,癸巳,64,864,7.407
117,丙午,庚寅,63,864,7.292
123,丙午,癸未,61,864,7.06
124,丙午,辛卯,61,864,7.06
108,丙午,丁亥,57,864,6.597
115,丙午,壬辰,57,864,6.597
120,丙午,甲午,57,864,6.597
119,丙午,戊子,52,864,6.019
114,丙午,壬午,49,864,5.671
116,丙午,己丑,46,864,5.324
121,丙午,甲申,44,864,5.093
112,丙午,乙未,43,864,4.977
110,丙午,丙戌,41,864,4.745
111,丙午,丙申,34,864,3.935
125,丙午,辛巳,29,864,3.356
118,丙午,庚辰,23,864,2.662
109,丙午,丁酉,17,864,1.968
104,丁酉,癸巳,69,756,9.127
106,丁酉,辛卯,68,756,8.995
102,丁酉,甲午,62,756,8.201
97,丁酉,壬辰,60,756,7.937
98,丁酉,己丑,50,756,6.614
105,丁酉,癸未,50,756,6.614
94,丁酉,乙未,45,756,5.952
101,丁酉,戊子,45,756,5.952
99,丁酉,庚寅,44,756,5.82
96,丁酉,壬午,41,756,5.423
95,丁酉,乙酉,39,756,5.159
92,丁酉,丙戌,35,756,4.63
90,丁酉,丁亥,33,756,4.365
103,丁酉,甲申,29,756,3.836
93,丁酉,丙申,25,756,3.307
100,丁酉,庚辰,23,756,3.042
107,丁酉,辛巳,23,756,3.042
91,丁酉,丁酉,15,756,1.984
84,丁未,甲午,68,806,8.437
86,丁未,癸巳,68,806,8.437
79,丁未,壬辰,64,806,7.94
81,丁未,庚寅,59,806,7.32
88,丁未,辛卯,58,806,7.196
77,丁未,乙酉,53,806,6.576
83,丁未,戊子,51,806,6.328
72,丁未,丁亥,50,806,6.203
80,丁未,己丑,50,806,6.203
76,丁未,乙未,46,806,5.707
87,丁未,癸未,46,806,5.707
74,丁未,丙戌,44,806,5.459
85,丁未,甲申,36,806,4.467
75,丁未,丙申,34,806,4.218
78,丁未,壬午,32,806,3.97
89,丁未,辛巳,20,806,2.481
82,丁未,庚辰,18,806,2.233
73,丁未,丁酉,9,806,1.117
70,丁巳,辛卯,69,756,9.127
68,丁巳,癸巳,65,756,8.598
66,丁巳,甲午,54,756,7.143
59,丁巳,乙酉,51,756,6.746
61,丁巳,壬辰,51,756,6.746
63,丁巳,庚寅,51,756,6.746
62,丁巳,己丑,50,756,6.614
65,丁巳,戊子,50,756,6.614
69,丁巳,癸未,49,756,6.481
54,丁巳,丁亥,44,756,5.82
56,丁巳,丙戌,41,756,5.423
67,丁巳,甲申,37,756,4.894
60,丁巳,壬午,36,756,4.762
58,丁巳,乙未,34,756,4.497
57,丁巳,丙申,27,756,3.571
71,丁巳,辛巳,23,756,3.042
64,丁巳,庚辰,17,756,2.249
55,丁巳,丁酉,7,756,0.926
41,丁卯,乙酉,58,758,7.652
48,丁卯,甲午,57,758,7.52
47,丁卯,戊子,55,758,7.256
50,丁卯,癸巳,54,758,7.124
43,丁卯,壬辰,53,758,6.992
36,丁卯,丁亥,51,758,6.728
38,丁卯,丙戌,50,758,6.596
45,丁卯,庚寅,49,758,6.464
42,丁卯,壬午,48,758,6.332
52,丁卯,辛卯,48,758,6.332
44,丁卯,己丑,47,758,6.201
49,丁卯,甲申,42,758,5.541
51,丁卯,癸未,40,758,5.277
40,丁卯,乙未,36,758,4.749
46,丁卯,庚辰,30,758,3.958
39,丁卯,丙申,24,758,3.166
53,丁卯,辛巳,12,758,1.583
37,丁卯,丁酉,4,758,0.528
25,丁亥,壬辰,66,822,8.029
30,丁亥,甲午,61,822,7.421
23,丁亥,乙酉,59,822,7.178
18,丁亥,丁亥,58,822,7.056
27,丁亥,庚寅,58,822,7.056
34,丁亥,辛卯,57,822,6.934
31,丁亥,甲申,56,822,6.813
32,丁亥,癸巳,56,822,6.813
26,丁亥,己丑,54,822,6.569
20,丁亥,丙戌,50,822,6.083
33,丁亥,癸未,50,822,6.083
29,丁亥,戊子,47,822,5.718
24,丁亥,壬午,45,822,5.474
22,丁亥,乙未,32,822,3.893
21,丁亥,丙申,27,822,3.285
35,丁亥,辛巳,22,822,2.676
28,丁亥,庚辰,18,822,2.19
19,丁亥,丁酉,6,822,0.73
12,丁丑,甲午,72,790,9.114
14,丁丑,癸巳,65,790,8.228
7,丁丑,壬辰,63,790,7.975
5,丁丑,乙酉,55,790,6.962
15,丁丑,癸未,53,790,6.709
11,丁丑,戊子,49,790,6.203
16,丁丑,辛卯,49,790,6.203
9,丁丑,庚寅,47,790,5.949
0,丁丑,丁亥,46,790,5.823
2,丁丑,丙戌,45,790,5.696
4,丁丑,乙未,45,790,5.696
8,丁丑,己丑,42,790,5.316
13,丁丑,甲申,42,790,5.316
6,丁丑,壬午,38,790,4.81
3,丁丑,丙申,32,790,4.051
17,丁丑,辛巳,21,790,2.658
10,丁丑,庚辰,16,790,2.025
1,丁丑,丁酉,10,790,1.266
