西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,uniqueid
1960,3,辛丑,庚子,大運金庫地支土局,,庚子丁巳壬寅丁酉,2851
1961,4,辛丑,辛丑,大運金庫地支土局,,庚子丁巳壬寅丁酉,2851
1962,5,辛丑,壬寅,大運金庫,,庚子丁巳壬寅丁酉,2851
1963,6,辛丑,癸卯,大運金庫,,庚子丁巳壬寅丁酉,2851
1964,7,辛丑,甲辰,大運金庫地支土局,,庚子丁巳壬寅丁酉,2851
1965,8,辛丑,乙巳,地支金局,,庚子丁巳壬寅丁酉,2851
1966,9,辛丑,丙午,天干化水,,庚子丁巳壬寅丁酉,2851
1967,10,辛丑,丁未,大運金庫地支土局,,庚子丁巳壬寅丁酉,2851
1968,11,辛丑,戊申,大運金庫,,庚子丁巳壬寅丁酉,2851
1969,12,辛丑,己酉,地支金局,,庚子丁巳壬寅丁酉,2851
1970,13,庚子,庚戌,,,庚子丁巳壬寅丁酉,2851
1971,14,庚子,辛亥,,,庚子丁巳壬寅丁酉,2851
1972,15,庚子,壬子,,,庚子丁巳壬寅丁酉,2851
1973,16,庚子,癸丑,地支土局,,庚子丁巳壬寅丁酉,2851
1974,17,庚子,甲寅,,,庚子丁巳壬寅丁酉,2851
1975,18,庚子,乙卯,天干化金,,庚子丁巳壬寅丁酉,2851
1976,19,庚子,丙辰,地支水局,,庚子丁巳壬寅丁酉,2851
1977,20,庚子,丁巳,,,庚子丁巳壬寅丁酉,2851
1978,21,庚子,戊午,,,庚子丁巳壬寅丁酉,2851
1979,22,庚子,己未,,,庚子丁巳壬寅丁酉,2851
1980,23,己亥,庚申,,,庚子丁巳壬寅丁酉,2851
1981,24,己亥,辛酉,,,庚子丁巳壬寅丁酉,2851
1982,25,己亥,壬戌,,,庚子丁巳壬寅丁酉,2851
1983,26,己亥,癸亥,,,庚子丁巳壬寅丁酉,2851
1984,27,己亥,甲子,天干化土,,庚子丁巳壬寅丁酉,2851
1985,28,己亥,乙丑,,,庚子丁巳壬寅丁酉,2851
1986,29,己亥,丙寅,地支合木,,庚子丁巳壬寅丁酉,2851
1987,30,己亥,丁卯,地支木局,,庚子丁巳壬寅丁酉,2851
1988,31,己亥,戊辰,,,庚子丁巳壬寅丁酉,2851
1989,32,己亥,己巳,,,庚子丁巳壬寅丁酉,2851
1990,33,戊戌,庚午,地支火局,,庚子丁巳壬寅丁酉,2851
1991,34,戊戌,辛未,地支土局,,庚子丁巳壬寅丁酉,2851
1992,35,戊戌,壬申,,,庚子丁巳壬寅丁酉,2851
1993,36,戊戌,癸酉,天干化火,,庚子丁巳壬寅丁酉,2851
1994,37,戊戌,甲戌,地支土局,,庚子丁巳壬寅丁酉,2851
1995,38,戊戌,乙亥,,,庚子丁巳壬寅丁酉,2851
1996,39,戊戌,丙子,,,庚子丁巳壬寅丁酉,2851
1997,40,戊戌,丁丑,地支土局,,庚子丁巳壬寅丁酉,2851
1998,41,戊戌,戊寅,地支火局,,庚子丁巳壬寅丁酉,2851
1999,42,戊戌,己卯,地支合火,,庚子丁巳壬寅丁酉,2851
2000,43,丁酉,庚辰,地支合金,,庚子丁巳壬寅丁酉,2851
2001,44,丁酉,辛巳,地支金局,,庚子丁巳壬寅丁酉,2851
2002,45,丁酉,壬午,天干化木,,庚子丁巳壬寅丁酉,2851
2003,46,丁酉,癸未,,,庚子丁巳壬寅丁酉,2851
2004,47,丁酉,甲申,,,庚子丁巳壬寅丁酉,2851
2005,48,丁酉,乙酉,,,庚子丁巳壬寅丁酉,2851
2006,49,丁酉,丙戌,,,庚子丁巳壬寅丁酉,2851
2007,50,丁酉,丁亥,,,庚子丁巳壬寅丁酉,2851
2008,51,丁酉,戊子,,,庚子丁巳壬寅丁酉,2851
2009,52,丁酉,己丑,地支金局,,庚子丁巳壬寅丁酉,2851
2010,53,丙申,庚寅,,,庚子丁巳壬寅丁酉,2851
2011,54,丙申,辛卯,天干化水,,庚子丁巳壬寅丁酉,2851
2012,55,丙申,壬辰,地支水局,,庚子丁巳壬寅丁酉,2851
2013,56,丙申,癸巳,地支合水,,庚子丁巳壬寅丁酉,2851
2014,57,丙申,甲午,,,庚子丁巳壬寅丁酉,2851
