西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,uniqueid
1951,6,癸未,辛卯,地支木局,,甲子己巳甲申乙酉,2784
1952,7,癸未,壬辰,地支土局,,甲子己巳甲申乙酉,2784
1953,8,癸未,癸巳,,,甲子己巳甲申乙酉,2784
1954,9,癸未,甲午,,,甲子己巳甲申乙酉,2784
1955,10,癸未,乙未,地支土局,,甲子己巳甲申乙酉,2784
1956,11,癸未,丙申,,,甲子己巳甲申乙酉,2784
1957,12,癸未,丁酉,,,甲子己巳甲申乙酉,2784
1958,13,癸未,戊戌,天干化火地支土局,,甲子己巳甲申乙酉,2784
1959,14,癸未,己亥,地支木局,,甲子己巳甲申乙酉,2784
1960,15,癸未,庚子,,,甲子己巳甲申乙酉,2784
1961,16,壬午,辛丑,,,甲子己巳甲申乙酉,2784
1962,17,壬午,壬寅,地支火局,,甲子己巳甲申乙酉,2784
1963,18,壬午,癸卯,,,甲子己巳甲申乙酉,2784
1964,19,壬午,甲辰,,,甲子己巳甲申乙酉,2784
1965,20,壬午,乙巳,,,甲子己巳甲申乙酉,2784
1966,21,壬午,丙午,,,甲子己巳甲申乙酉,2784
1967,22,壬午,丁未,天干化木,,甲子己巳甲申乙酉,2784
1968,23,壬午,戊申,,,甲子己巳甲申乙酉,2784
1969,24,壬午,己酉,,,甲子己巳甲申乙酉,2784
1970,25,壬午,庚戌,地支火局,,甲子己巳甲申乙酉,2784
1971,26,辛巳,辛亥,,,甲子己巳甲申乙酉,2784
1972,27,辛巳,壬子,,,甲子己巳甲申乙酉,2784
1973,28,辛巳,癸丑,地支金局,,甲子己巳甲申乙酉,2784
1974,29,辛巳,甲寅,,,甲子己巳甲申乙酉,2784
1975,30,辛巳,乙卯,,,甲子己巳甲申乙酉,2784
1976,31,辛巳,丙辰,天干化水,,甲子己巳甲申乙酉,2784
1977,32,辛巳,丁巳,,,甲子己巳甲申乙酉,2784
1978,33,辛巳,戊午,,,甲子己巳甲申乙酉,2784
1979,34,辛巳,己未,,,甲子己巳甲申乙酉,2784
1980,35,辛巳,庚申,地支合水,,甲子己巳甲申乙酉,2784
1981,36,庚辰,辛酉,地支合金,,甲子己巳甲申乙酉,2784
1982,37,庚辰,壬戌,地支土局,,甲子己巳甲申乙酉,2784
1983,38,庚辰,癸亥,,,甲子己巳甲申乙酉,2784
1984,39,庚辰,甲子,地支水局,,甲子己巳甲申乙酉,2784
1985,40,庚辰,乙丑,天干化金地支土局,,甲子己巳甲申乙酉,2784
1986,41,庚辰,丙寅,,,甲子己巳甲申乙酉,2784
1987,42,庚辰,丁卯,,,甲子己巳甲申乙酉,2784
1988,43,庚辰,戊辰,地支土局,,甲子己巳甲申乙酉,2784
1989,44,庚辰,己巳,,,甲子己巳甲申乙酉,2784
1990,45,庚辰,庚午,,,甲子己巳甲申乙酉,2784
1991,46,己卯,辛未,地支木局,,甲子己巳甲申乙酉,2784
1992,47,己卯,壬申,,,甲子己巳甲申乙酉,2784
1993,48,己卯,癸酉,,,甲子己巳甲申乙酉,2784
