西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,uniqueid
1956,4,庚戌,丙申,,,丙子乙亥己酉壬辰,1629
1957,5,庚戌,丁酉,,,丙子乙亥己酉壬辰,1629
1958,6,庚戌,戊戌,地支土局,,丙子乙亥己酉壬辰,1629
1959,7,庚戌,己亥,,,丙子乙亥己酉壬辰,1629
1960,8,庚戌,庚子,,,丙子乙亥己酉壬辰,1629
1961,9,庚戌,辛丑,地支土局,,丙子乙亥己酉壬辰,1629
1962,10,庚戌,壬寅,地支火局,,丙子乙亥己酉壬辰,1629
1963,11,庚戌,癸卯,地支合火,,丙子乙亥己酉壬辰,1629
1964,12,庚戌,甲辰,地支土局,,丙子乙亥己酉壬辰,1629
1965,13,庚戌,乙巳,天干化金,,丙子乙亥己酉壬辰,1629
1966,14,辛亥,丙午,天干化水,,丙子乙亥己酉壬辰,1629
1967,15,辛亥,丁未,地支木局,,丙子乙亥己酉壬辰,1629
1968,16,辛亥,戊申,,,丙子乙亥己酉壬辰,1629
1969,17,辛亥,己酉,,,丙子乙亥己酉壬辰,1629
1970,18,辛亥,庚戌,,,丙子乙亥己酉壬辰,1629
1971,19,辛亥,辛亥,,,丙子乙亥己酉壬辰,1629
1972,20,辛亥,壬子,,,丙子乙亥己酉壬辰,1629
1973,21,辛亥,癸丑,,,丙子乙亥己酉壬辰,1629
1974,22,辛亥,甲寅,地支合木,,丙子乙亥己酉壬辰,1629
1975,23,辛亥,乙卯,地支木局,,丙子乙亥己酉壬辰,1629
1976,24,壬子,丙辰,地支水局,,丙子乙亥己酉壬辰,1629
1977,25,壬子,丁巳,天干化木,,丙子乙亥己酉壬辰,1629
1978,26,壬子,戊午,,,丙子乙亥己酉壬辰,1629
1979,27,壬子,己未,,,丙子乙亥己酉壬辰,1629
1980,28,壬子,庚申,地支水局,,丙子乙亥己酉壬辰,1629
1981,29,壬子,辛酉,,,丙子乙亥己酉壬辰,1629
1982,30,壬子,壬戌,,,丙子乙亥己酉壬辰,1629
1983,31,壬子,癸亥,,,丙子乙亥己酉壬辰,1629
1984,32,壬子,甲子,,,丙子乙亥己酉壬辰,1629
1985,33,壬子,乙丑,地支土局,,丙子乙亥己酉壬辰,1629
1986,34,癸丑,丙寅,,,丙子乙亥己酉壬辰,1629
1987,35,癸丑,丁卯,,,丙子乙亥己酉壬辰,1629
1988,36,癸丑,戊辰,天干化火地支土局,,丙子乙亥己酉壬辰,1629
1989,37,癸丑,己巳,地支金局,,丙子乙亥己酉壬辰,1629
1990,38,癸丑,庚午,,,丙子乙亥己酉壬辰,1629
1991,39,癸丑,辛未,地支土局,,丙子乙亥己酉壬辰,1629
1992,40,癸丑,壬申,,,丙子乙亥己酉壬辰,1629
1993,41,癸丑,癸酉,地支金局,,丙子乙亥己酉壬辰,1629
1994,42,癸丑,甲戌,地支土局,,丙子乙亥己酉壬辰,1629
1995,43,癸丑,乙亥,,,丙子乙亥己酉壬辰,1629
1996,44,甲寅,丙子,,,丙子乙亥己酉壬辰,1629
1997,45,甲寅,丁丑,,,丙子乙亥己酉壬辰,1629
1998,46,甲寅,戊寅,,,丙子乙亥己酉壬辰,1629
1999,47,甲寅,己卯,天干化土,,丙子乙亥己酉壬辰,1629
2000,48,甲寅,庚辰,,,丙子乙亥己酉壬辰,1629
2001,49,甲寅,辛巳,,,丙子乙亥己酉壬辰,1629
