西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,uniqueid
1961,5,辛丑,辛丑,大運金庫地支土局,,丙子乙丑庚子丙申,3459
1962,6,辛丑,壬寅,大運金庫,,丙子乙丑庚子丙申,3459
1963,7,辛丑,癸卯,大運金庫,,丙子乙丑庚子丙申,3459
1964,8,辛丑,甲辰,大運金庫地支土局,,丙子乙丑庚子丙申,3459
1965,9,辛丑,乙巳,地支金局,,丙子乙丑庚子丙申,3459
1966,10,辛丑,丙午,天干化水,,丙子乙丑庚子丙申,3459
1967,11,辛丑,丁未,大運金庫地支土局,,丙子乙丑庚子丙申,3459
1968,12,辛丑,戊申,大運金庫,,丙子乙丑庚子丙申,3459
1969,13,辛丑,己酉,地支金局,,丙子乙丑庚子丙申,3459
1970,14,辛丑,庚戌,大運金庫地支土局,,丙子乙丑庚子丙申,3459
1971,15,壬寅,辛亥,地支合木,,丙子乙丑庚子丙申,3459
1972,16,壬寅,壬子,,,丙子乙丑庚子丙申,3459
1973,17,壬寅,癸丑,,,丙子乙丑庚子丙申,3459
1974,18,壬寅,甲寅,,,丙子乙丑庚子丙申,3459
1975,19,壬寅,乙卯,,,丙子乙丑庚子丙申,3459
1976,20,壬寅,丙辰,,,丙子乙丑庚子丙申,3459
1977,21,壬寅,丁巳,天干化木,,丙子乙丑庚子丙申,3459
1978,22,壬寅,戊午,地支火局,,丙子乙丑庚子丙申,3459
1979,23,壬寅,己未,,,丙子乙丑庚子丙申,3459
1980,24,壬寅,庚申,,,丙子乙丑庚子丙申,3459
1981,25,癸卯,辛酉,,,丙子乙丑庚子丙申,3459
1982,26,癸卯,壬戌,地支合火,,丙子乙丑庚子丙申,3459
1983,27,癸卯,癸亥,地支木局,,丙子乙丑庚子丙申,3459
1984,28,癸卯,甲子,,,丙子乙丑庚子丙申,3459
1985,29,癸卯,乙丑,,,丙子乙丑庚子丙申,3459
1986,30,癸卯,丙寅,,,丙子乙丑庚子丙申,3459
1987,31,癸卯,丁卯,,,丙子乙丑庚子丙申,3459
