西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,uniqueid
1971,3,乙卯,辛亥,地支木局,,戊子丙寅甲寅戊申,307
1972,4,乙卯,壬子,,,戊子丙寅甲寅戊申,307
1973,5,乙卯,癸丑,,,戊子丙寅甲寅戊申,307
1974,6,乙卯,甲寅,,,戊子丙寅甲寅戊申,307
1975,7,乙卯,乙卯,,,戊子丙寅甲寅戊申,307
1976,8,乙卯,丙辰,,,戊子丙寅甲寅戊申,307
1977,9,乙卯,丁巳,,,戊子丙寅甲寅戊申,307
1978,10,乙卯,戊午,,,戊子丙寅甲寅戊申,307
1979,11,乙卯,己未,地支木局,,戊子丙寅甲寅戊申,307
1980,12,乙卯,庚申,天干化金,,戊子丙寅甲寅戊申,307
1981,13,丙辰,辛酉,天干化水地支合金,,戊子丙寅甲寅戊申,307
1982,14,丙辰,壬戌,地支土局,,戊子丙寅甲寅戊申,307
1983,15,丙辰,癸亥,,,戊子丙寅甲寅戊申,307
1984,16,丙辰,甲子,地支水局,,戊子丙寅甲寅戊申,307
1985,17,丙辰,乙丑,地支土局,,戊子丙寅甲寅戊申,307
1986,18,丙辰,丙寅,,,戊子丙寅甲寅戊申,307
1987,19,丙辰,丁卯,,,戊子丙寅甲寅戊申,307
1988,20,丙辰,戊辰,地支土局,,戊子丙寅甲寅戊申,307
1989,21,丙辰,己巳,,,戊子丙寅甲寅戊申,307
1990,22,丙辰,庚午,,,戊子丙寅甲寅戊申,307
1991,23,丁巳,辛未,,,戊子丙寅甲寅戊申,307
1992,24,丁巳,壬申,天干化木地支合水,,戊子丙寅甲寅戊申,307
1993,25,丁巳,癸酉,地支金局,,戊子丙寅甲寅戊申,307
1994,26,丁巳,甲戌,,,戊子丙寅甲寅戊申,307
1995,27,丁巳,乙亥,,,戊子丙寅甲寅戊申,307
1996,28,丁巳,丙子,,,戊子丙寅甲寅戊申,307
1997,29,丁巳,丁丑,地支金局,,戊子丙寅甲寅戊申,307
1998,30,丁巳,戊寅,,,戊子丙寅甲寅戊申,307
1999,31,丁巳,己卯,,,戊子丙寅甲寅戊申,307
